company,url,address,telephone,hours
1 Stop Title & Registration Services,http://az-mvd.com/,"940 N. Alma School Rd., #104
			Chandler, AZ 85224",480.821.3288,Mon.-Fri. 8:00 a.m.-6:00 p.m. Sat. 9:00 a.m.-4:30 p.m.
1 Stop Title & Registration Services,http://az-mvd.com/,"5036 W. Cactus Rd., Ste. 2
			Glendale, AZ 85304",602.264.2400,Mon.-Fri. 8:00 a.m.-6:00 p.m. Sat. 8:30 a.m.-4:30 p.m.
Academy of Driving Motor Vehicle Center,,"4733 E. Broadway Blvd.
			Tucson, AZ 85711",520.750.7572,Mon.-Fri. 9 a.m.-5 p.m. and Sat. 9 a.m.-3 p.m.
Arizona Auto License,,"1337 W. Prince Rd
			Tucson, AZ 85705",520.696.2023,"Driver License Hours: 
			Mon.-Fri. 9 a.m.-5 p.m.
			Sat by Appt. Only"
Arizona Auto License Service LLC,,"1457 N. Eliseo C Felix Jr.
			Way, Ste. 105 and 106
			Avondale, AZ 85323",623.925.5455 or Fax 623.925.5879,Mon.-Fri. 8 a.m.-5 p.m.
Arizona Auto License Service LLC,,"5130 W Baseline Rd.
			Ste. 105
			Laveen, AZ 85339","602.334.1700
			or Fax 602.272.2480",Mon.-Sat. 8 a.m.-5 p.m.
Arizona Loan Solutions Motor Vehicle Center,,"4401 N. Hwy. 89 
			Suite 1
			Flagstaff, AZ 86004","928.527.3215
			or Fax
			928.526.1895","Mon.-Fri. 9 a.m.-5 p.m. and
			Sat. 10 a.m.-2 p.m."
Arizona Motor Vehicle Express LLC,http://azmotorexpress.com/home/4972190,"6741 N Thornydale #147 
			Tucson, AZ 85741",520.219.8852,"Driver License Hours:
			M-F 9:00 a.m.-5:30 p.m.
			Sat 9:00 a.m.-3:00 p.m."
Arizona State Express Title & Registration,,"20924 N. John Wayne Parkway Ste. D1 
			Maricopa, AZ 85139",520.568.9299,"Driver License Hours: 
			M-F 9:00 a.m.- 5:00 p.m. 
			Closed Sat-Sun"
Arizona Tags & Title Inc.,,"8307 E. State Route 69
			Suite A
			Prescott Valley, AZ 86314",928.759.9700 or Fax 928.772.5283,Mon.-Fri. 10 a.m.-2 p.m.
Best Buy Title Services,http://www.getbestbuyinsurance.com/phoenix-auto-insurance/,"5146 W. McDowell Rd.
			Phoenix, AZ 85035","602.272.5441
			or Fax
			602.272.0116",Mon.-Fri. 9 a.m.-4 p.m. and Sat. 9 a.m.-2 p.m.
C & C Auto License,,"12450 N 35th Ave Ste. 15
			Phoenix, AZ 85029",602.298.1900,"Driver License Hours: 
			M-F 9:00 a.m. – 5:30 p.m.
			Sat 9:00 a.m.-2:00 p.m."
Check Changers of Arizona LLC,,"250 N. 43rd Ave Ste #104
			Phoenix, AZ 85009","602.443.0268
			or Fax
			602.443.0279",Mon.-Fri. 8 a.m.-6 p.m. and Sat. 9 a.m.-4 p.m.
FooteWork Auto License & Title Service,http://footework.com/,"201 Grove Ave
			Prescott, AZ 86301","928.771.9015
			or
			928.771.1457",Mon.-Fri. 8 a.m.-4:30 p.m.
