title,subhead,article_url,premium,byline,article_type
 Iran warns of 'devastating response' to Israel attacks  ,"'Leave the occupied territories because they will certainly no longer be habitable in the future,"" and shelters will 'not guarantee security', an Iranian spokesman for the armed forces said on Sunday. Tehran also reported that the intelligence chief of Iran's Revolutionary Guards had been killed in an Israeli strike.",https://www.lemonde.fr/en/international/article/2025/06/15/iran-warns-of-devastating-response-to-israel-attacks_6742369_4.html,Subscribers only,,
"In Greenland, Macron criticizes Trump's annexation threats: 'That's not what allies do'",,https://www.lemonde.fr/en/international/article/2025/06/15/in-greenland-macron-criticizes-trump-s-annexation-threats-that-s-not-what-allies-do_6742364_4.html,,,
Was the Trump phenomenon a historical accident? Reinterpreting the history of the American right,,https://www.lemonde.fr/en/international/article/2025/06/15/was-the-trump-phenomenon-a-historical-accident-reinterpreting-the-history-of-the-american-right_6742368_4.html,Subscribers only,,
"France's first Slow Fashion Week champions a simple, recycled approach to fashion","Designers and vintage enthusiasts gathered in Marseille from June 7 to June 14, far from the glitz of major fashion capitals, to promote an alternative fashion model where secondhand clothing takes center stage.",https://www.lemonde.fr/en/environment/article/2025/06/16/france-s-first-slow-fashion-week-champions-a-simple-recycled-approach-to-fashion_6742376_114.html,Subscribers only,,
Paris Saint-Germain thrash Atlético 4-0 in Club World Cup Opener,"PSG largely dominated Atlético at the Rose Bowl on Sunday, in its first match since trouncing Inter Milan 5-0 to win its first Champions League title on May 31.",https://www.lemonde.fr/en/sports/article/2025/06/16/paris-saint-germain-thrash-atletico-4-0-in-club-world-cup-opener_6742372_9.html,,,
The young professionals taking their parents' experiences to heart and changing how they work,"Between exhaustion, loss of meaning and admiration, the younger generation is shaping its relationship with work after witnessing their parents' professional struggles and the profound transformation of the workplace.",https://www.lemonde.fr/en/campus/article/2025/06/16/the-young-professionals-taking-their-parents-experiences-to-heart-and-changing-how-they-work_6742373_11.html,Subscribers only,,
War in Ukraine: How FPV drones are transforming the battlefield,Le Monde has compiled dozens of verified videos from the front lines to document the decisive impact of these low-cost drones.,https://www.lemonde.fr/en/international/video/2025/06/15/war-in-ukraine-how-fpv-drones-are-transforming-the-battlefield_6742367_4.html,Subscribers only," Alexandre Horn,  Marceau Bretonnier and  Sinead McCausland",Video investigation
Search for suspect in shooting of two Minnesota lawmakers leads to one of his vehicles in rural area,,https://www.lemonde.fr/en/international/article/2025/06/15/search-for-suspect-in-shooting-of-2-minnesota-lawmakers-leads-to-one-of-his-vehicles-in-rural-area_6742371_4.html,,,
Poland delivers Trump his first electoral victory in Europe,,https://www.lemonde.fr/en/opinion/article/2025/06/16/poland-delivers-trump-his-first-electoral-victory-in-europe_6742374_23.html,Subscribers only,,
French health authorities launch major study of pollutants' impact on population's health,,https://www.lemonde.fr/en/environment/article/2025/06/15/french-health-authorities-launch-major-study-of-pollutants-impact-on-population-s-health_6742350_114.html,Subscribers only,,
Is it ever a good idea to... wear your sunglasses on your head?,,https://www.lemonde.fr/en/lifestyle/article/2025/06/16/is-it-ever-a-good-idea-to-wear-your-sunglasses-on-your-head_6742375_37.html,,,
"French car maker Renault could make drones in Ukraine, signaling the automotive industry's shift into defense",,https://www.lemonde.fr/en/economy/article/2025/06/15/french-car-maker-renault-could-make-drones-in-ukraine-signaling-the-automotive-industry-s-shift-into-defense_6742366_19.html,Subscribers only,,
Sarkozy stripped of Legion of Honor,,https://www.lemonde.fr/en/france/article/2025/06/15/former-french-president-nicolas-sarkozy-stripped-of-the-legion-of-honor_6742357_7.html,,,
"At Paris protest in support of Gaza, anger and fear run high",,https://www.lemonde.fr/en/france/article/2025/06/15/at-paris-protest-in-support-of-gaza-anger-and-fear-run-high_6742365_7.html,Subscribers only,,
Ferrari wins third consecutive 24 Hours of Le Mans,,https://www.lemonde.fr/en/france/article/2025/06/15/ferrari-wins-third-consecutive-24-hours-of-le-mans_6742363_7.html,,,
"Away from Trump, world leaders make progress on key ocean issues",,https://www.lemonde.fr/en/international/article/2025/06/15/unoc-away-from-trump-world-leaders-make-progress-on-key-ocean-issues_6742360_4.html,Subscribers only,,
"Kazakhstan families search for clues about the 270,000 'missing soldiers' of the World War II Soviet Army",,https://www.lemonde.fr/en/m-le-mag/article/2025/06/15/kazakhstan-families-search-for-clues-about-the-270-000-missing-soldiers-of-the-world-war-ii-soviet-army_6742352_117.html,Subscribers only,,
"On the Canadian side of lake Ontario, a new identity emerges in the shadow of Trump",,https://www.lemonde.fr/en/m-le-mag/article/2025/06/15/on-the-canadian-side-of-lake-ontario-a-new-identity-emerges-in-the-shadow-of-trump_6742361_117.html,Subscribers only,,
Democratic lawmaker assassinated in Minnesota: The suspect's unusual profile,,https://www.lemonde.fr/en/international/article/2025/06/15/democratic-lawmaker-assassinated-in-minnesota-the-suspect-s-unusual-profile_6742359_4.html,Subscribers only,,
Europe's paradoxical support for Israel's attack against Iran,"France, the United Kingdom and Germany expressed their support on Friday for Israel's 'right to defend itself' against the nuclear threat posed by the Islamic Republic of Iran, despite deteriorating relations with Benjamin Netanyahu because of his war in Gaza and their stated preference for a diplomatic approach.",https://www.lemonde.fr/en/international/article/2025/06/14/europe-s-paradoxical-support-for-israel-s-attack-against-iran_6742340_4.html,Subscribers only, Elise Vincent and  Philippe Ricard,In Depth
"On the Canadian side of lake Ontario, a new identity emerges in the shadow of Trump","Straddling the border between Canada and the US, Lake Ontario has long served as a model for the harmonious management of a shared space. But Donald Trump's declarations undermine that balance.",https://www.lemonde.fr/en/m-le-mag/article/2025/06/15/on-the-canadian-side-of-lake-ontario-a-new-identity-emerges-in-the-shadow-of-trump_6742361_117.html,Subscribers only, Eliott Dumoulin,Feature
The collapse of the 'axis of resistance',"Faced with Israel, the Islamic Republic of Iran can no longer count on its allies in Lebanon, Iraq and Yemen, which have been weakened since Hamas's attack on Israel, on October 7, 2023.",https://www.lemonde.fr/en/international/article/2025/06/14/israel-s-attack-on-iran-the-collapse-of-the-pro-tehran-axis-of-resistance_6742345_4.html,Subscribers only, Hélène Sallon,News analysis
Israel's war in Iran: The choice of war and its risks,,https://www.lemonde.fr/en/opinion/article/2025/06/14/israel-s-war-in-iran-the-choice-of-war-and-its-risks_6742338_23.html,,Le Monde,Editorial
Thomas Piketty: 'Opponents of the tax on the ultra-wealthy lack historical perspective',,https://www.lemonde.fr/en/opinion/article/2025/06/14/thomas-piketty-opponents-of-the-tax-on-the-ultra-wealthy-lack-historical-perspective_6742333_23.html,Subscribe,Thomas Piketty,Column
'There is a world of difference between how the media portrays JK Rowling and her image among the public',,https://www.lemonde.fr/en/opinion/article/2025/06/13/there-is-a-world-of-difference-between-how-the-media-portrays-jk-rowling-and-her-image-among-the-public_6742323_23.html,Subscribe,Michel Guerrin,Column
